tipo_dado,metrica,valor,nc,epochs,seed
synthetic,RMSE,1349.575164635153,20,100,555
synthetic,MAPE,30.54288625717163,20,100,555
real+synthetic,R²,0.6335057020187378,20,100,555
real+synthetic,MAE,1013.766357421875,20,100,555
real+synthetic,RMSE,1278.7976286340227,20,100,555
real+synthetic,MAPE,36.68898940086365,20,100,555
real,R²,0.569097638130188,20,150,555
real,MAE,1114.90380859375,20,150,555
real,RMSE,1386.6205771587265,20,150,555
real,MAPE,39.793819189071655,20,150,555
synthetic,R²,-0.4558202028274536,20,150,555
synthetic,MAE,1730.2816162109375,20,150,555
synthetic,RMSE,2548.719776672202,20,150,555
synthetic,MAPE,49.04400706291199,20,150,555
real+synthetic,R²,0.49110567569732666,20,150,555
real+synthetic,MAE,1209.3551025390625,20,150,555
real+synthetic,RMSE,1506.8916683026687,20,150,555
real+synthetic,MAPE,33.62743556499481,20,150,555
real,R²,0.342437744140625,20,100,593
real,MAE,1355.6588134765625,20,100,593
real,RMSE,1712.9182700876304,20,100,593
real,MAPE,36.72946095466614,20,100,593
synthetic,R²,0.35090625286102295,20,100,593
synthetic,MAE,1324.8060302734375,20,100,593
synthetic,RMSE,1701.8525934992138,20,100,593
synthetic,MAPE,36.87899112701416,20,100,593
real+synthetic,R²,0.40321946144104004,20,100,593
real+synthetic,MAE,1296.7442626953125,20,100,593
real+synthetic,RMSE,1631.8323290093256,20,100,593
real+synthetic,MAPE,41.66003465652466,20,100,593
real,R²,0.646240234375,20,150,593
real,MAE,1020.29638671875,20,150,593
real,RMSE,1256.384047574626,20,150,593
real,MAPE,33.02466869354248,20,150,593
synthetic,R²,0.1642250418663025,20,150,593
synthetic,MAE,1390.90576171875,20,150,593
synthetic,RMSE,1931.1361940577883,20,150,593
synthetic,MAPE,45.280954241752625,20,150,593
real+synthetic,R²,0.6328064203262329,20,150,593
real+synthetic,MAE,1036.630126953125,20,150,593
real+synthetic,RMSE,1280.0171385571366,20,150,593
real+synthetic,MAPE,36.33261322975159,20,150,593
real,R²,0.3543093800544739,20,100,632
real,MAE,1307.074951171875,20,100,632
real,RMSE,1697.3854158675924,20,100,632
real,MAPE,35.25243401527405,20,100,632
synthetic,R²,0.0998731255531311,20,100,632
synthetic,MAE,1611.025146484375,20,100,632
synthetic,RMSE,2004.103228379217,20,100,632
synthetic,MAPE,40.050119161605835,20,100,632
real+synthetic,R²,0.4907873868942261,20,100,632
real+synthetic,MAE,1218.064208984375,20,100,632
real+synthetic,RMSE,1507.362846165448,20,100,632
real+synthetic,MAPE,39.609503746032715,20,100,632
real,R²,0.5418126583099365,20,150,632
real,MAE,1115.328857421875,20,150,632
real,RMSE,1429.8475880316755,20,150,632
real,MAPE,40.29549062252045,20,150,632
synthetic,R²,0.6009135246276855,20,150,632
synthetic,MAE,1092.044921875,20,150,632
synthetic,RMSE,1334.4482474041472,20,150,632
synthetic,MAPE,32.413771748542786,20,150,632
real+synthetic,R²,0.6437769532203674,20,150,632
real+synthetic,MAE,999.7654418945312,20,150,632
real+synthetic,RMSE,1260.7507188179588,20,150,632
real+synthetic,MAPE,34.20268893241882,20,150,632
real,R²,0.34790927171707153,22,100,654
real,MAE,1245.340087890625,22,100,654
real,RMSE,1705.7768757958938,22,100,654
real,MAPE,39.09856975078583,22,100,654
synthetic,R²,0.5578024387359619,22,100,654
synthetic,MAE,1142.4449462890625,22,100,654
synthetic,RMSE,1404.6767421723762,22,100,654
synthetic,MAPE,39.02457654476166,22,100,654
real+synthetic,R²,-0.17053914070129395,22,100,654
real+synthetic,MAE,1571.0216064453125,22,100,654
real+synthetic,RMSE,2285.3944954865015,22,100,654
real+synthetic,MAPE,43.323421478271484,22,100,654
real,R²,0.5833884477615356,22,150,654
real,MAE,1068.2965087890625,22,150,654
real,RMSE,1363.4332583592054,22,150,654
real,MAPE,42.03426539897919,22,150,654
synthetic,R²,0.2873871922492981,22,150,654
synthetic,MAE,1264.9666748046875,22,150,654
synthetic,RMSE,1783.1793936673898,22,150,654
synthetic,MAPE,35.064175724983215,22,150,654
real+synthetic,R²,0.6443698406219482,22,150,654
real+synthetic,MAE,1011.48583984375,22,150,654
real+synthetic,RMSE,1259.701155036384,22,150,654
real+synthetic,MAPE,34.913402795791626,22,150,654
real,R²,0.6257411241531372,22,100,677
real,MAE,1057.0283203125,22,100,677
real,RMSE,1292.2730942026149,22,100,677
real,MAPE,29.472240805625916,22,100,677
synthetic,R²,0.5794199705123901,22,100,677
synthetic,MAE,1112.8055419921875,22,100,677
synthetic,RMSE,1369.9116759849885,22,100,677
synthetic,MAPE,37.74972856044769,22,100,677
real+synthetic,R²,0.6280854940414429,22,100,677
real+synthetic,MAE,1046.9398193359375,22,100,677
real+synthetic,RMSE,1288.219265109787,22,100,677
real+synthetic,MAPE,34.33515727519989,22,100,677
real,R²,0.45016247034072876,22,150,677
real,MAE,1212.532470703125,22,150,677
real,RMSE,1566.3377668944843,22,150,677
real,MAPE,33.714085817337036,22,150,677
synthetic,R²,0.5895274877548218,22,150,677
synthetic,MAE,1081.4376220703125,22,150,677
synthetic,RMSE,1353.3503334318132,22,150,677
synthetic,MAPE,40.678805112838745,22,150,677
real+synthetic,R²,0.6273640394210815,22,150,677
real+synthetic,MAE,1034.7158203125,22,150,677
real+synthetic,RMSE,1289.468107399326,22,150,677
real+synthetic,MAPE,37.161001563072205,22,150,677
real,R²,0.6239421367645264,22,100,701
real,MAE,1011.3406372070312,22,100,701
real,RMSE,1295.3751387146506,22,100,701
real,MAPE,38.216930627822876,22,100,701
synthetic,R²,0.46087002754211426,22,100,701
synthetic,MAE,1259.701904296875,22,100,701
synthetic,RMSE,1551.0112830021578,22,100,701
synthetic,MAPE,37.879252433776855,22,100,701
real+synthetic,R²,0.5457140207290649,22,100,701
real+synthetic,MAE,1054.8365478515625,22,100,701
real+synthetic,RMSE,1423.747256362589,22,100,701
real+synthetic,MAPE,41.20522439479828,22,100,701
real,R²,0.5654454827308655,22,150,701
real,MAE,1134.302490234375,22,150,701
real,RMSE,1392.4844254066184,22,150,701
real,MAPE,30.594807863235474,22,150,701
synthetic,R²,0.6123690605163574,22,150,701
synthetic,MAE,1076.961181640625,22,150,701
synthetic,RMSE,1315.1565496168128,22,150,701
synthetic,MAPE,33.87362360954285,22,150,701
real+synthetic,R²,0.6373634338378906,22,150,701
real+synthetic,MAE,997.9823608398438,22,150,701
real+synthetic,RMSE,1272.0495273376741,22,150,701
real+synthetic,MAPE,36.32515072822571,22,150,701
real,R²,0.5200861096382141,22,100,726
real,MAE,1122.221435546875,22,100,726
real,RMSE,1463.3556471343527,22,100,726
real,MAPE,33.140960335731506,22,100,726
synthetic,R²,0.4392281770706177,22,100,726
synthetic,MAE,1145.8707275390625,22,100,726
synthetic,RMSE,1581.8354844926193,22,100,726
synthetic,MAPE,41.83102548122406,22,100,726
real+synthetic,R²,0.5769460797309875,22,100,726
real+synthetic,MAE,1100.817626953125,22,100,726
real+synthetic,RMSE,1373.9346782143612,22,100,726
real+synthetic,MAPE,41.91848635673523,22,100,726
real,R²,0.447176456451416,22,150,726
real,MAE,1305.36181640625,22,150,726
real,RMSE,1570.585161651542,22,150,726
real,MAPE,36.440467834472656,22,150,726
synthetic,R²,-0.5350804328918457,22,150,726
synthetic,MAE,1855.2916259765625,22,150,726
synthetic,RMSE,2617.181212679015,22,150,726
synthetic,MAPE,49.299246072769165,22,150,726
real+synthetic,R²,0.54994136095047,22,150,726
real+synthetic,MAE,1178.575439453125,22,150,726
real+synthetic,RMSE,1417.1074412337266,22,150,726
