od,hora_do_dia,dia_da_semana,n_viagens
alphabet city-east village,13,1,3
alphabet city-east village,15,1,1
alphabet city-east village,17,1,1
alphabet city-east village,18,1,1
alphabet city-east village,19,1,1
alphabet city-east village,20,1,1
alphabet city-east village,21,1,2
alphabet city-east village,22,1,2
alphabet city-east village,0,2,1
alphabet city-east village,1,2,1
alphabet city-east village,2,2,1
alphabet city-east village,8,2,4
alphabet city-east village,9,2,1
alphabet city-east village,11,2,3
alphabet city-east village,12,2,2
alphabet city-east village,14,2,1
alphabet city-east village,18,2,2
alphabet city-east village,19,2,1
alphabet city-east village,20,2,3
alphabet city-east village,21,2,1
alphabet city-east village,22,2,6
alphabet city-east village,23,2,2
alphabet city-east village,0,3,1
alphabet city-east village,1,3,5
alphabet city-east village,8,3,3
alphabet city-east village,9,3,1
alphabet city-east village,10,3,2
alphabet city-east village,11,3,1
alphabet city-east village,12,3,1
alphabet city-east village,13,3,1
alphabet city-east village,15,3,1
alphabet city-east village,17,3,1
alphabet city-east village,19,3,1
alphabet city-east village,22,3,1
alphabet city-east village,23,3,3
alphabet city-east village,0,4,2
alphabet city-east village,1,4,1
alphabet city-east village,2,4,2
alphabet city-east village,3,4,1
alphabet city-east village,6,4,1
alphabet city-east village,7,4,1
alphabet city-east village,8,4,1
alphabet city-east village,9,4,1
alphabet city-east village,12,4,1
alphabet city-east village,14,4,1
alphabet city-east village,15,4,4
alphabet city-east village,16,4,2
alphabet city-east village,17,4,1
alphabet city-east village,18,4,3
alphabet city-east village,19,4,1
alphabet city-east village,20,4,2
alphabet city-east village,21,4,2
alphabet city-east village,22,4,3
alphabet city-east village,23,4,2
alphabet city-east village,0,5,8
alphabet city-east village,1,5,3
alphabet city-east village,2,5,2
alphabet city-east village,3,5,3
alphabet city-east village,4,5,4
alphabet city-east village,6,5,1
alphabet city-east village,7,5,1
alphabet city-east village,9,5,1
alphabet city-east village,12,5,2
alphabet city-east village,13,5,3
alphabet city-east village,14,5,4
alphabet city-east village,15,5,4
alphabet city-east village,16,5,1
alphabet city-east village,17,5,2
alphabet city-east village,18,5,2
alphabet city-east village,19,5,1
alphabet city-east village,21,5,3
alphabet city-east village,22,5,2
alphabet city-east village,23,5,6
alphabet city-east williamsburg,0,0,1
alphabet city-east williamsburg,0,3,1
alphabet city-east williamsburg,23,3,1
alphabet city-east williamsburg,23,4,1
alphabet city-east williamsburg,16,5,1
alphabet city-east williamsburg,23,5,1
alphabet city-elmhurst,11,0,1
alphabet city-erasmus,1,4,1
alphabet city-financial district north,6,0,1
alphabet city-financial district north,8,0,1
alphabet city-financial district north,14,0,1
alphabet city-financial district north,16,0,1
alphabet city-financial district north,6,1,1
alphabet city-financial district north,8,1,3
alphabet city-financial district north,12,1,1
alphabet city-financial district north,16,1,1
alphabet city-financial district north,21,1,2
alphabet city-financial district north,8,2,3
alphabet city-financial district north,19,2,1
alphabet city-financial district north,21,2,1
alphabet city-financial district north,4,3,1
alphabet city-financial district north,6,3,3
alphabet city-financial district north,7,3,3
alphabet city-financial district north,22,3,1
alphabet city-financial district north,23,3,1
alphabet city-financial district north,0,4,2
alphabet city-financial district north,6,4,1
alphabet city-financial district north,7,4,1
alphabet city-financial district north,8,4,2
alphabet city-financial district north,9,4,2
alphabet city-financial district north,10,4,1
alphabet city-financial district north,12,4,1
alphabet city-financial district north,13,4,2
alphabet city-financial district north,17,4,1
alphabet city-financial district north,18,4,1
alphabet city-financial district north,19,4,2
alphabet city-financial district north,21,4,1
alphabet city-financial district north,22,4,1
alphabet city-financial district north,23,4,2
alphabet city-financial district north,0,5,1
alphabet city-financial district north,1,5,2
alphabet city-financial district north,2,5,1
alphabet city-financial district north,3,5,1
alphabet city-financial district north,12,5,1
alphabet city-financial district north,16,5,1
alphabet city-financial district north,17,5,2
alphabet city-financial district north,19,5,1
alphabet city-financial district north,23,5,1
alphabet city-financial district south,0,0,1
alphabet city-financial district south,7,0,2
alphabet city-financial district south,16,0,1
alphabet city-financial district south,8,1,1
alphabet city-financial district south,15,1,1
alphabet city-financial district south,20,1,1
alphabet city-financial district south,8,2,1
alphabet city-financial district south,9,2,1
alphabet city-financial district south,12,2,1
alphabet city-financial district south,14,2,1
alphabet city-financial district south,15,2,2
alphabet city-financial district south,16,2,1
alphabet city-financial district south,0,3,1
alphabet city-financial district south,2,3,1
alphabet city-financial district south,6,3,1
alphabet city-financial district south,7,3,1
alphabet city-financial district south,20,3,1
alphabet city-financial district south,7,4,1
alphabet city-financial district south,10,4,1
alphabet city-financial district south,14,4,2
alphabet city-financial district south,19,4,1
alphabet city-financial district south,23,4,1
alphabet city-financial district south,9,5,1
alphabet city-financial district south,12,5,1
alphabet city-financial district south,13,5,1
alphabet city-flatbush/ditmas park,8,0,1
alphabet city-flatbush/ditmas park,18,1,1
alphabet city-flatbush/ditmas park,23,1,1
alphabet city-flatbush/ditmas park,2,5,1
