od,hora_do_dia,dia_da_semana,n_viagens
alphabet city-greenwich village north,17,0,1
alphabet city-greenwich village north,9,1,3
alphabet city-greenwich village north,16,1,1
alphabet city-greenwich village north,18,1,1
alphabet city-greenwich village north,0,2,1
alphabet city-greenwich village north,8,2,3
alphabet city-greenwich village north,14,2,2
alphabet city-greenwich village north,15,2,1
alphabet city-greenwich village north,7,3,1
alphabet city-greenwich village north,12,3,1
alphabet city-greenwich village north,21,3,1
alphabet city-greenwich village north,22,3,1
alphabet city-greenwich village north,23,3,2
alphabet city-greenwich village south,1,0,1
alphabet city-greenwich village south,2,0,1
alphabet city-greenwich village south,3,0,1
alphabet city-greenwich village south,4,0,1
alphabet city-greenwich village south,7,0,1
alphabet city-greenwich village south,8,0,1
alphabet city-greenwich village south,9,0,2
alphabet city-greenwich village south,11,0,2
alphabet city-greenwich village south,13,0,1
alphabet city-greenwich village south,2,1,1
alphabet city-greenwich village south,7,1,1
alphabet city-greenwich village south,8,1,2
alphabet city-greenwich village south,9,1,3
alphabet city-greenwich village south,11,1,1
alphabet city-greenwich village south,13,1,1
alphabet city-greenwich village south,15,1,1
alphabet city-greenwich village south,18,1,1
alphabet city-greenwich village south,19,1,2
alphabet city-greenwich village south,1,2,1
alphabet city-greenwich village south,9,2,3
alphabet city-greenwich village south,10,2,1
alphabet city-greenwich village south,12,2,1
alphabet city-greenwich village south,13,2,1
alphabet city-greenwich village south,15,2,2
alphabet city-greenwich village south,17,2,1
alphabet city-greenwich village south,18,2,2
alphabet city-greenwich village south,21,2,2
alphabet city-greenwich village south,6,3,1
alphabet city-greenwich village south,9,3,4
alphabet city-greenwich village south,13,3,1
alphabet city-greenwich village south,14,3,1
alphabet city-greenwich village south,17,3,2
alphabet city-greenwich village south,23,3,1
alphabet city-hamilton heights,1,1,1
alphabet city-highbridge park,8,1,1
alphabet city-hudson sq,5,0,1
alphabet city-hudson sq,8,0,1
alphabet city-hudson sq,14,0,1
alphabet city-hudson sq,8,2,1
alphabet city-hudson sq,10,2,1
alphabet city-hudson sq,11,2,1
alphabet city-hudson sq,20,2,1
alphabet city-hudson sq,12,3,1
alphabet city-hudson sq,15,3,1
alphabet city-hudson sq,22,3,1
alphabet city-hudson sq,23,3,1
alphabet city-hunts point,1,0,1
alphabet city-inwood,1,1,1
alphabet city-jackson heights,2,0,1
alphabet city-jamaica,16,1,1
alphabet city-jfk airport,4,0,1
alphabet city-jfk airport,12,0,1
alphabet city-jfk airport,14,0,1
alphabet city-jfk airport,15,1,1
alphabet city-kensington,15,2,1
alphabet city-kew gardens,20,3,1
alphabet city-kingsbridge heights,9,1,1
alphabet city-kips bay,0,0,1
alphabet city-kips bay,1,0,2
alphabet city-kips bay,2,0,1
alphabet city-kips bay,4,0,4
alphabet city-kips bay,6,0,1
alphabet city-kips bay,7,0,1
alphabet city-kips bay,8,0,2
alphabet city-kips bay,9,0,1
alphabet city-kips bay,11,0,1
alphabet city-kips bay,13,0,1
alphabet city-kips bay,15,0,1
alphabet city-kips bay,7,1,1
