tipo_dado,metrica,valor,nc,epochs,seed
synthetic,RMSE,1654.2808105034646,25,200,18106153425710724691
real+synthetic,R²,0.23015177249908447,25,200,18106153425710724691
real+synthetic,MAE,806.102294921875,25,200,18106153425710724691
real+synthetic,RMSE,2099.835350688239,25,200,18106153425710724691
real,R²,-4.956503391265869,25,200,5047836053321722913
real,MAE,6022.779296875,25,200,5047836053321722913
real,RMSE,6771.138161343335,25,200,5047836053321722913
synthetic,R²,-0.47200095653533936,25,200,5047836053321722913
synthetic,MAE,851.2950439453125,25,200,5047836053321722913
synthetic,RMSE,2299.739115638989,25,200,5047836053321722913
real+synthetic,R²,-0.5739736557006836,25,200,5047836053321722913
real+synthetic,MAE,1029.78125,25,200,5047836053321722913
real+synthetic,RMSE,3002.4889675067916,25,200,5047836053321722913
real,R²,-0.11364459991455078,30,50,5091974486563037449
real,MAE,2568.2373046875,30,50,5091974486563037449
real,RMSE,2927.785852824622,30,50,5091974486563037449
synthetic,R²,0.2438434362411499,30,50,5091974486563037449
synthetic,MAE,614.7881469726562,30,50,5091974486563037449
synthetic,RMSE,1785.8960636050465,30,50,5091974486563037449
real+synthetic,R²,0.32388967275619507,30,50,5091974486563037449
real+synthetic,MAE,731.249267578125,30,50,5091974486563037449
real+synthetic,RMSE,2268.7098756782457,30,50,5091974486563037449
real,R²,-6.680723190307617,30,50,796683447998521574
real,MAE,6592.51123046875,30,50,796683447998521574
real,RMSE,7688.9499933345905,30,50,796683447998521574
synthetic,R²,-0.5964510440826416,30,50,796683447998521574
synthetic,MAE,960.8279418945312,30,50,796683447998521574
synthetic,RMSE,2594.944797100701,30,50,796683447998521574
real+synthetic,R²,-0.5771875381469727,30,50,796683447998521574
real+synthetic,MAE,1190.543701171875,30,50,796683447998521574
real+synthetic,RMSE,3465.0688304851897,30,50,796683447998521574
real,R²,0.3932608962059021,30,50,9511785669927640435
real,MAE,1870.6680908203125,30,50,9511785669927640435
real,RMSE,2161.060734916999,30,50,9511785669927640435
synthetic,R²,-0.02610921859741211,30,50,9511785669927640435
