record_type,metric_table,run_section,metric_key,value,value_type,source_file,status,section_type,split,row_index,category,feature,real_prob,synth_prob,abs_diff
section_metric,metrics,strategy_hold,dcr_alpha,0.05,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,dcr_max_samples,20000.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,dcr_chunk_size,1024.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,dcr_within_excludes_self,1.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,cov_tr_te_ext,95.129,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,cov_tr_syn_ext,95.065,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,cov_te_syn_ext,95.748,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,dcr_tr_syn_p005_ext,0.0694560409,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,dcr_hold_syn_p005_ext,0.0664253458,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,rdcr_p005_ext,1.0456255814,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,dcr_tr_syn_p01_ext,0.0976470038,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,dcr_hold_syn_p01_ext,0.0982181206,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,rdcr_p01_ext,0.9941852196,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,dcr_tr_syn_p05_ext,0.185671702,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,dcr_hold_syn_p05_ext,0.1830082238,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,rdcr_p05_ext,1.014553872,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,passenger_count_jsd,0.0001133833,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,passenger_count_chi2,0.0009096929,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,total_amount_log1p_w1,0.020611862,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,total_amount_log1p_ks,0.0157647205,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,total_amount_log1p_quantile_mae,0.0378766513,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,total_amount_log1p_median_mae_by_hour,0.0134219405,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,total_amount_log1p_median_mae_by_passenger_count,0.2487669025,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,eval_split,hold,str,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,n_train,3839929.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,n_eval,1094596.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,best_val,11.7372751236,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,train_time_min,28.4010932612,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,sample_time_min,0.0237860751,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,total_time_min,28.4248793363,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,exact_match_rate_discrete,0.9364751927,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,exact_match_rate_with_r_rounded,0.2584551743,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_status,section,strategy_val,status,ok,str,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_file_size_bytes,section,strategy_val,file.size_bytes,3013,int,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,n_real,682599.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,n_synth,682599.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,hour_of_day_jsd,5.63846e-05,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,hour_of_day_chi2,0.0004538656,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,day_of_week_jsd,0.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,day_of_week_chi2,0.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,pickup_id_jsd,0.0003653369,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,pickup_id_chi2,6.4414923382,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,dropoff_id_jsd,0.0004486299,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
